  p=32452883 n=2000000
  p=67867999 n=4000000
  p=104395337 n=6000000
  p=141650981 n=8000000
  p=179424697 n=10000000
  p=217645201 n=12000000
  p=256203223 n=14000000
  p=295075163 n=16000000
  p=334214521 n=18000000
  p=373587923 n=20000000
  p=413158549 n=22000000
  p=452930479 n=24000000
  p=492876871 n=26000000
  p=533000411 n=28000000
  p=573259439 n=30000000
  p=613651393 n=32000000
  p=654188459 n=34000000
  p=694847551 n=36000000
  p=735632801 n=38000000
  p=776531471 n=40000000
  p=817504301 n=42000000
  p=858599527 n=44000000
  p=899809369 n=46000000
  p=941083991 n=48000000
  p=982451737 n=50000000
DONE n_primes=50847532 -> crossbase_fine_1e9.json
