  p=32453039 n=2000000
  p=67868153 n=4000000
  p=104395451 n=6000000
  p=141651127 n=8000000
  p=179424799 n=10000000
  p=217645397 n=12000000
  p=256203359 n=14000000
  p=295075367 n=16000000
  p=334214687 n=18000000
  p=373588003 n=20000000
  p=413158771 n=22000000
  p=452930593 n=24000000
  p=492877003 n=26000000
  p=533000579 n=28000000
  p=573259679 n=30000000
  p=613651589 n=32000000
  p=654188719 n=34000000
  p=694847719 n=36000000
  p=735632923 n=38000000
  p=776531671 n=40000000
  p=817504409 n=42000000
  p=858599627 n=44000000
  p=899809601 n=46000000
  p=941084167 n=48000000
  p=982452047 n=50000000
DONE n_primes=50847524 -> crossbase_qr_1e9.json
